                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4352,                 4.5081,                 2.0182,                0.00122,                0.33624,                0.00154,                0.00042,                 1.8082,                 4.3783,                 1.8279,             0.00054574,             0.00054574,             0.00054574
                      2,                 1.3927,                 2.5781,                 1.2969,                0.39983,                0.52437,                0.35552,                0.20745,                 1.3698,                 2.8132,                 1.3222,              0.0010647,              0.0010647,              0.0010647
                      3,                 1.2703,                 1.8538,                 1.2375,                0.42929,                0.71421,                0.44532,                0.29727,                 1.1862,                 1.7842,                 1.1537,              0.0015467,              0.0015467,              0.0015467
                      4,                 1.2568,                 1.7252,                 1.2235,                 0.4821,                0.52081,                0.42065,                0.26826,                 1.2611,                  2.521,                 1.1877,              0.0015005,              0.0015005,              0.0015005
                      5,                 1.2288,                 1.5873,                 1.2086,                0.44057,                0.74158,                0.45484,                0.31561,                 1.1307,                 1.5789,                 1.1304,               0.001445,               0.001445,               0.001445
                      6,                 1.1688,                 1.4967,                 1.1602,                 0.3629,                0.46653,                0.30855,                0.21061,                 1.2114,                 2.1591,                  1.259,              0.0013894,              0.0013894,              0.0013894
                      7,                 1.1265,                 1.4107,                 1.1368,                0.46241,                0.82187,                0.47993,                 0.3275,                 1.1376,                 1.4805,                  1.123,              0.0013339,              0.0013339,              0.0013339
                      8,                 1.1344,                 1.3608,                 1.1272,                0.44013,                0.82288,                0.45138,                0.30483,                 1.1766,                 1.5373,                 1.1429,              0.0012784,              0.0012784,              0.0012784
                      9,                 1.1384,                 1.3333,                 1.1367,                0.46188,                0.79712,                0.48896,                0.34426,                  1.098,                 1.3402,                 1.0984,              0.0012229,              0.0012229,              0.0012229
                     10,                 1.0877,                 1.2855,                 1.1205,                0.44823,                0.80095,                0.48433,                0.34223,                 1.0651,                 1.3193,                 1.1141,              0.0011674,              0.0011674,              0.0011674
                     11,                 1.0569,                 1.2619,                 1.1102,                0.45831,                0.87515,                0.49411,                0.34935,                 1.0698,                 1.2831,                  1.089,              0.0011119,              0.0011119,              0.0011119
